Task: x2xyy2 mod 113
Model: mlp  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep   8400 | loss 0.0000/19.1650 | acc 1.000/0.008 | pre
Ep   8500 | loss 0.0000/19.1538 | acc 1.000/0.008 | pre
Ep   8600 | loss 0.0000/19.1420 | acc 1.000/0.008 | pre
Ep   8700 | loss 0.0000/19.1308 | acc 1.000/0.009 | pre
Ep   8800 | loss 0.0000/19.1191 | acc 1.000/0.009 | pre
Ep   8900 | loss 0.0000/19.1077 | acc 1.000/0.009 | pre
Ep   9000 | loss 0.0000/19.0963 | acc 1.000/0.008 | pre
Ep   9100 | loss 0.0000/19.0847 | acc 1.000/0.008 | pre
Ep   9200 | loss 0.0000/19.0721 | acc 1.000/0.008 | pre
Ep   9300 | loss 0.0000/19.0572 | acc 1.000/0.009 | pre
Ep   9400 | loss 0.0000/19.0441 | acc 1.000/0.009 | pre
Ep   9500 | loss 0.0000/19.0306 | acc 1.000/0.009 | pre
Ep   9600 | loss 0.0000/19.0175 | acc 1.000/0.009 | pre
Ep   9700 | loss 0.0000/19.0049 | acc 1.000/0.008 | pre
Ep   9800 | loss 0.0000/18.9926 | acc 1.000/0.008 | pre
Ep   9900 | loss 0.0000/18.9823 | acc 1.000/0.008 | pre
Ep  10000 | loss 0.0000/18.9712 | acc 1.000/0.008 | pre
Ep  10100 | loss 0.0000/18.9611 | acc 1.000/0.008 | pre
Ep  10200 | loss 0.0000/18.9525 | acc 1.000/0.008 | pre
Ep  10300 | loss 0.0000/18.9449 | acc 1.000/0.008 | pre
Ep  10400 | loss 0.0000/18.9372 | acc 1.000/0.008 | pre
Ep  10500 | loss 0.0000/18.9289 | acc 1.000/0.008 | pre
Ep  10600 | loss 0.0000/18.9206 | acc 1.000/0.008 | pre
Ep  10700 | loss 0.0000/18.9129 | acc 1.000/0.008 | pre
Ep  10800 | loss 0.0000/18.9040 | acc 1.000/0.008 | pre
Ep  10900 | loss 0.0000/18.8964 | acc 1.000/0.008 | pre
Ep  11000 | loss 0.0000/18.8892 | acc 1.000/0.008 | pre
Ep  11100 | loss 0.0000/18.8830 | acc 1.000/0.008 | pre
Ep  11200 | loss 0.0000/18.8764 | acc 1.000/0.008 | pre
Ep  11300 | loss 0.0000/18.8694 | acc 1.000/0.008 | pre
Ep  11400 | loss 0.0000/18.8608 | acc 1.000/0.008 | pre
Ep  11500 | loss 0.0000/18.8522 | acc 1.000/0.008 | pre
Ep  11600 | loss 0.0000/18.8435 | acc 1.000/0.008 | pre
Ep  11700 | loss 0.0000/18.8343 | acc 1.000/0.008 | pre
Ep  11800 | loss 0.0000/18.8255 | acc 1.000/0.008 | pre
Ep  11900 | loss 0.0000/18.8176 | acc 1.000/0.009 | pre
Ep  12000 | loss 0.0000/18.8092 | acc 1.000/0.009 | pre
Ep  12100 | loss 0.0000/18.8002 | acc 1.000/0.008 | pre
Ep  12200 | loss 0.0000/18.7912 | acc 1.000/0.008 | pre
Ep  12300 | loss 0.0000/18.7833 | acc 1.000/0.008 | pre
Ep  12400 | loss 0.0000/18.7752 | acc 1.000/0.008 | pre
Ep  12500 | loss 0.0000/18.7677 | acc 1.000/0.008 | pre
Ep  12600 | loss 0.0000/18.7602 | acc 1.000/0.008 | pre
Ep  12700 | loss 0.0000/18.7528 | acc 1.000/0.008 | pre
Ep  12800 | loss 0.0000/18.7456 | acc 1.000/0.008 | pre
Ep  12900 | loss 0.0000/18.7368 | acc 1.000/0.008 | pre
Ep  13000 | loss 0.0000/18.7289 | acc 1.000/0.008 | pre
Ep  13100 | loss 0.0000/18.7219 | acc 1.000/0.008 | pre
