Task: multiply mod 113
Model: mlp  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep   8400 | loss 0.0000/12.6859 | acc 1.000/0.028 | pre
Ep   8500 | loss 0.0000/12.5278 | acc 1.000/0.028 | pre
Ep   8600 | loss 0.0000/12.3679 | acc 1.000/0.029 | pre
Ep   8700 | loss 0.0000/12.2048 | acc 1.000/0.030 | pre
Ep   8800 | loss 0.0000/12.0325 | acc 1.000/0.031 | pre
Ep   8900 | loss 0.0000/11.8568 | acc 1.000/0.033 | pre
Ep   9000 | loss 0.0000/11.6846 | acc 1.000/0.034 | pre
Ep   9100 | loss 0.0000/11.5093 | acc 1.000/0.036 | pre
Ep   9200 | loss 0.0000/11.3339 | acc 1.000/0.037 | pre
Ep   9300 | loss 0.0000/11.1588 | acc 1.000/0.039 | pre
Ep   9400 | loss 0.0000/10.9868 | acc 1.000/0.040 | pre
Ep   9500 | loss 0.0000/10.8165 | acc 1.000/0.043 | pre
Ep   9600 | loss 0.0000/10.6455 | acc 1.000/0.044 | pre
Ep   9700 | loss 0.0000/10.4780 | acc 1.000/0.046 | pre
Ep   9800 | loss 0.0000/10.3151 | acc 1.000/0.048 | pre
Ep   9900 | loss 0.0000/10.1518 | acc 1.000/0.050 | pre
Ep  10000 | loss 0.0000/9.9883 | acc 1.000/0.051 | pre
Ep  10100 | loss 0.0000/9.8269 | acc 1.000/0.054 | pre
Ep  10200 | loss 0.0000/9.6658 | acc 1.000/0.057 | pre
Ep  10300 | loss 0.0000/9.5022 | acc 1.000/0.060 | pre
Ep  10400 | loss 0.0000/9.3367 | acc 1.000/0.063 | pre
Ep  10500 | loss 0.0000/9.1713 | acc 1.000/0.066 | pre
Ep  10600 | loss 0.0000/9.0042 | acc 1.000/0.069 | pre
Ep  10700 | loss 0.0000/8.8342 | acc 1.000/0.073 | pre
Ep  10800 | loss 0.0000/8.6629 | acc 1.000/0.076 | pre
Ep  10900 | loss 0.0000/8.4906 | acc 1.000/0.078 | pre
Ep  11000 | loss 0.0000/8.3143 | acc 1.000/0.083 | pre
Ep  11100 | loss 0.0000/8.1321 | acc 1.000/0.087 | pre
Ep  11200 | loss 0.0000/7.9470 | acc 1.000/0.090 | pre
Ep  11300 | loss 0.0000/7.7570 | acc 1.000/0.096 | pre
Ep  11400 | loss 0.0000/7.5646 | acc 1.000/0.101 | pre
Ep  11500 | loss 0.0000/7.3665 | acc 1.000/0.105 | pre
Ep  11600 | loss 0.0000/7.1612 | acc 1.000/0.111 | pre
Ep  11700 | loss 0.0000/6.9539 | acc 1.000/0.118 | pre
Ep  11800 | loss 0.0000/6.7444 | acc 1.000/0.126 | pre
Ep  11900 | loss 0.0000/6.5356 | acc 1.000/0.134 | pre
Ep  12000 | loss 0.0000/6.3213 | acc 1.000/0.143 | pre
Ep  12100 | loss 0.0000/6.1081 | acc 1.000/0.154 | pre
Ep  12200 | loss 0.0000/5.8961 | acc 1.000/0.163 | pre
Ep  12300 | loss 0.0000/5.6841 | acc 1.000/0.175 | pre
Ep  12400 | loss 0.0000/5.4734 | acc 1.000/0.187 | pre
Ep  12500 | loss 0.0000/5.2644 | acc 1.000/0.198 | transition
Ep  12600 | loss 0.0000/5.0576 | acc 1.000/0.211 | transition
Ep  12700 | loss 0.0000/4.8555 | acc 1.000/0.225 | transition
Ep  12800 | loss 0.0000/4.6594 | acc 1.000/0.241 | transition
Ep  12900 | loss 0.0000/4.4673 | acc 1.000/0.257 | transition
