C:\Projects\Programming\6700\grok\grok_impl\metrics.py:404: UserWarning: torch.linalg.svd: During SVD computation with the selected cusolver driver, batches 0 failed to converge. A more accurate method will be used to compute the SVD as a fallback. Check doc at https://pytorch.org/docs/stable/generated/torch.linalg.svd.html (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\cuda\linalg\BatchLinearAlgebraLib.cpp:696.)
  S = torch.linalg.svdvals(acts_c)
Task: x3xy2y mod 113
Model: transformer  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep   7800 | loss 0.0000/30.8629 | acc 1.000/0.010 | pre
Ep   7900 | loss 0.0000/30.8576 | acc 1.000/0.010 | pre
Ep   8000 | loss 0.0000/30.8224 | acc 1.000/0.010 | pre
Ep   8100 | loss 0.0000/30.7867 | acc 1.000/0.010 | pre
Ep   8200 | loss 0.0000/30.8161 | acc 1.000/0.011 | pre
Ep   8300 | loss 0.0000/30.7844 | acc 1.000/0.010 | pre
Ep   8400 | loss 0.0000/30.7729 | acc 1.000/0.010 | pre
Ep   8500 | loss 0.0000/30.7619 | acc 1.000/0.010 | pre
Ep   8600 | loss 0.0000/30.7428 | acc 1.000/0.010 | pre
Ep   8700 | loss 0.0000/30.7204 | acc 1.000/0.010 | pre
Ep   8800 | loss 0.0000/30.7073 | acc 1.000/0.010 | pre
Ep   8900 | loss 0.0000/30.7068 | acc 1.000/0.010 | pre
Ep   9000 | loss 0.0000/30.7161 | acc 1.000/0.010 | pre
Ep   9100 | loss 0.0000/30.6637 | acc 1.000/0.009 | pre
Ep   9200 | loss 0.0000/30.6661 | acc 1.000/0.009 | pre
Ep   9300 | loss 0.0000/30.6886 | acc 1.000/0.009 | pre
Ep   9400 | loss 0.0000/30.6423 | acc 1.000/0.009 | pre
Ep   9500 | loss 0.0000/30.6179 | acc 1.000/0.010 | pre
Ep   9600 | loss 0.0000/30.6549 | acc 1.000/0.009 | pre
Ep   9700 | loss 0.0000/30.5964 | acc 1.000/0.010 | pre
Ep   9800 | loss 0.0000/30.6018 | acc 1.000/0.009 | pre
Ep   9900 | loss 0.0000/30.5534 | acc 1.000/0.009 | pre
Ep  10000 | loss 0.0000/30.5663 | acc 1.000/0.009 | pre
Ep  10100 | loss 0.0000/30.5628 | acc 1.000/0.010 | pre
Ep  10200 | loss 0.0000/30.5542 | acc 1.000/0.010 | pre
Ep  10300 | loss 0.0000/30.5356 | acc 1.000/0.010 | pre
Ep  10400 | loss 0.0000/30.5240 | acc 1.000/0.009 | pre
Ep  10500 | loss 0.0000/30.4916 | acc 1.000/0.009 | pre
Ep  10600 | loss 0.0000/30.4801 | acc 1.000/0.009 | pre
Ep  10700 | loss 0.0000/30.4633 | acc 1.000/0.009 | pre
Ep  10800 | loss 0.0000/30.4953 | acc 1.000/0.009 | pre
Ep  10900 | loss 0.0000/30.4656 | acc 1.000/0.009 | pre
Ep  11000 | loss 0.0000/30.4227 | acc 1.000/0.009 | pre
Ep  11100 | loss 0.0000/30.4516 | acc 1.000/0.009 | pre
Ep  11200 | loss 0.0000/30.4283 | acc 1.000/0.009 | pre
Ep  11300 | loss 0.0000/30.4250 | acc 1.000/0.008 | pre
Ep  11400 | loss 0.0000/30.3958 | acc 1.000/0.009 | pre
Ep  11500 | loss 0.0000/30.3896 | acc 1.000/0.009 | pre
Ep  11600 | loss 0.0000/30.4148 | acc 1.000/0.009 | pre
Ep  11700 | loss 0.0000/30.3885 | acc 1.000/0.009 | pre
Ep  11800 | loss 0.0000/30.3927 | acc 1.000/0.009 | pre
Ep  11900 | loss 0.0000/30.3173 | acc 1.000/0.009 | pre
Ep  12000 | loss 0.0000/30.3178 | acc 1.000/0.009 | pre
Ep  12100 | loss 0.0000/30.3752 | acc 1.000/0.009 | pre
Ep  12200 | loss 0.0000/30.3030 | acc 1.000/0.009 | pre
Ep  12300 | loss 0.0000/30.3003 | acc 1.000/0.009 | pre
Ep  12400 | loss 0.0000/30.3210 | acc 1.000/0.009 | pre
Ep  12500 | loss 0.0000/30.3077 | acc 1.000/0.009 | pre
Ep  12600 | loss 0.0007/21.4141 | acc 1.000/0.010 | pre
Ep  12700 | loss 0.0101/13.3915 | acc 1.000/0.010 | pre
Ep  12800 | loss 0.0108/13.2283 | acc 1.000/0.009 | pre
Ep  12900 | loss 0.0042/14.9219 | acc 1.000/0.009 | pre
Ep  13000 | loss 0.0016/16.7370 | acc 1.000/0.008 | pre
Ep  13100 | loss 0.0006/18.6065 | acc 1.000/0.009 | pre
Ep  13200 | loss 0.0002/20.4970 | acc 1.000/0.009 | pre
Ep  13300 | loss 0.0001/22.3825 | acc 1.000/0.009 | pre
Ep  13400 | loss 0.0000/24.2479 | acc 1.000/0.009 | pre
Ep  13500 | loss 0.0000/26.0571 | acc 1.000/0.009 | pre
Ep  13600 | loss 0.0000/27.7445 | acc 1.000/0.010 | pre
Ep  13700 | loss 0.0000/29.2394 | acc 1.000/0.010 | pre
Ep  13800 | loss 0.0000/30.3931 | acc 1.000/0.010 | pre
Ep  13900 | loss 0.0000/31.0783 | acc 1.000/0.010 | pre
Ep  14000 | loss 0.0000/31.2689 | acc 1.000/0.010 | pre
Ep  14100 | loss 0.0000/30.9856 | acc 1.000/0.009 | pre
Ep  14200 | loss 0.0000/30.4957 | acc 1.000/0.010 | pre
