Task: add mod 113
Model: mlp  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep   8400 | loss 0.0000/13.2700 | acc 1.000/0.012 | pre
Ep   8500 | loss 0.0000/13.0570 | acc 1.000/0.013 | pre
Ep   8600 | loss 0.0000/12.8365 | acc 1.000/0.014 | pre
Ep   8700 | loss 0.0000/12.6071 | acc 1.000/0.015 | pre
Ep   8800 | loss 0.0000/12.3755 | acc 1.000/0.016 | pre
Ep   8900 | loss 0.0000/12.1398 | acc 1.000/0.018 | pre
Ep   9000 | loss 0.0000/11.8972 | acc 1.000/0.019 | pre
Ep   9100 | loss 0.0000/11.6475 | acc 1.000/0.021 | pre
Ep   9200 | loss 0.0000/11.3924 | acc 1.000/0.022 | pre
Ep   9300 | loss 0.0000/11.1286 | acc 1.000/0.025 | pre
Ep   9400 | loss 0.0000/10.8604 | acc 1.000/0.028 | pre
Ep   9500 | loss 0.0000/10.5947 | acc 1.000/0.031 | pre
Ep   9600 | loss 0.0000/10.3217 | acc 1.000/0.034 | pre
Ep   9700 | loss 0.0000/10.0453 | acc 1.000/0.038 | pre
Ep   9800 | loss 0.0000/9.7672 | acc 1.000/0.042 | pre
Ep   9900 | loss 0.0000/9.4880 | acc 1.000/0.045 | pre
Ep  10000 | loss 0.0000/9.2060 | acc 1.000/0.050 | pre
Ep  10100 | loss 0.0000/8.9191 | acc 1.000/0.056 | pre
Ep  10200 | loss 0.0000/8.6361 | acc 1.000/0.061 | pre
Ep  10300 | loss 0.0000/8.3508 | acc 1.000/0.066 | pre
Ep  10400 | loss 0.0000/8.0606 | acc 1.000/0.073 | pre
Ep  10500 | loss 0.0000/7.7670 | acc 1.000/0.080 | pre
Ep  10600 | loss 0.0000/7.4706 | acc 1.000/0.087 | pre
Ep  10700 | loss 0.0000/7.1738 | acc 1.000/0.097 | pre
Ep  10800 | loss 0.0000/6.8798 | acc 1.000/0.106 | pre
Ep  10900 | loss 0.0000/6.5900 | acc 1.000/0.117 | pre
Ep  11000 | loss 0.0000/6.3038 | acc 1.000/0.128 | pre
Ep  11100 | loss 0.0000/6.0222 | acc 1.000/0.142 | pre
Ep  11200 | loss 0.0000/5.7471 | acc 1.000/0.155 | transition
Ep  11300 | loss 0.0000/5.4783 | acc 1.000/0.170 | transition
Ep  11400 | loss 0.0000/5.2173 | acc 1.000/0.188 | transition
Ep  11500 | loss 0.0000/4.9617 | acc 1.000/0.205 | transition
Ep  11600 | loss 0.0000/4.7133 | acc 1.000/0.221 | transition
Ep  11700 | loss 0.0000/4.4709 | acc 1.000/0.237 | transition
Ep  11800 | loss 0.0000/4.2351 | acc 1.000/0.256 | transition
Ep  11900 | loss 0.0000/4.0083 | acc 1.000/0.275 | transition
Ep  12000 | loss 0.0000/3.7871 | acc 1.000/0.297 | transition
Ep  12100 | loss 0.0000/3.5750 | acc 1.000/0.318 | transition
Ep  12200 | loss 0.0000/3.3675 | acc 1.000/0.341 | transition
Ep  12300 | loss 0.0000/3.1676 | acc 1.000/0.367 | transition
Ep  12400 | loss 0.0000/2.9731 | acc 1.000/0.391 | transition
Ep  12500 | loss 0.0000/2.7864 | acc 1.000/0.413 | transition
Ep  12600 | loss 0.0000/2.6052 | acc 1.000/0.439 | transition
Ep  12700 | loss 0.0000/2.4315 | acc 1.000/0.461 | transition
Ep  12800 | loss 0.0000/2.2667 | acc 1.000/0.484 | transition
Ep  12900 | loss 0.0000/2.1102 | acc 1.000/0.505 | transition
Ep  13000 | loss 0.0000/1.9588 | acc 1.000/0.531 | transition
Ep  13100 | loss 0.0000/1.8149 | acc 1.000/0.558 | transition
Ep  13200 | loss 0.0000/1.6776 | acc 1.000/0.584 | transition
Ep  13300 | loss 0.0000/1.5470 | acc 1.000/0.612 | transition
Ep  13400 | loss 0.0000/1.4223 | acc 1.000/0.637 | transition
Ep  13500 | loss 0.0000/1.3042 | acc 1.000/0.660 | transition
Ep  13600 | loss 0.0000/1.1931 | acc 1.000/0.683 | transition
Ep  13700 | loss 0.0000/1.0898 | acc 1.000/0.707 | transition
Ep  13800 | loss 0.0000/0.9939 | acc 1.000/0.729 | transition
Ep  13900 | loss 0.0000/0.9035 | acc 1.000/0.749 | transition
Ep  14000 | loss 0.0000/0.8196 | acc 1.000/0.770 | transition
Ep  14100 | loss 0.0000/0.7419 | acc 1.000/0.785 | transition
Ep  14200 | loss 0.0000/0.6704 | acc 1.000/0.802 | transition
Ep  14300 | loss 0.0000/0.6039 | acc 1.000/0.820 | transition
Ep  14400 | loss 0.0000/0.5424 | acc 1.000/0.838 | transition
Ep  14500 | loss 0.0000/0.4855 | acc 1.000/0.853 | transition
Ep  14600 | loss 0.0000/0.4330 | acc 1.000/0.869 | transition
Ep  14700 | loss 0.0000/0.3850 | acc 1.000/0.883 | transition
Ep  14800 | loss 0.0000/0.3418 | acc 1.000/0.896 | transition
Ep  14900 | loss 0.0000/0.3029 | acc 1.000/0.907 | transition
Ep  15000 | loss 0.0000/0.2674 | acc 1.000/0.918 | transition
Ep  15100 | loss 0.0000/0.2344 | acc 1.000/0.926 | transition
Ep  15200 | loss 0.0000/0.2042 | acc 1.000/0.937 | transition
Ep  15300 | loss 0.0000/0.1769 | acc 1.000/0.945 | transition
Ep  15400 | loss 0.0000/0.1525 | acc 1.000/0.953 | pre
Ep  15500 | loss 0.0000/0.1309 | acc 1.000/0.959 | pre
