C:\Projects\Programming\6700\grok\grok_impl\metrics.py:404: UserWarning: torch.linalg.svd: During SVD computation with the selected cusolver driver, batches 0 failed to converge. A more accurate method will be used to compute the SVD as a fallback. Check doc at https://pytorch.org/docs/stable/generated/torch.linalg.svd.html (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\cuda\linalg\BatchLinearAlgebraLib.cpp:696.)
  S = torch.linalg.svdvals(acts_c)
Task: add mod 113
Model: transformer  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep   7800 | loss 0.0001/15.2694 | acc 1.000/0.272 | pre
Ep   7900 | loss 0.0000/16.5178 | acc 1.000/0.273 | pre
Ep   8000 | loss 0.0000/17.7302 | acc 1.000/0.273 | pre
Ep   8100 | loss 0.0000/18.8826 | acc 1.000/0.273 | pre
Ep   8200 | loss 0.0000/19.9136 | acc 1.000/0.274 | pre
Ep   8300 | loss 0.0000/20.7511 | acc 1.000/0.274 | pre
Ep   8400 | loss 0.0000/21.3041 | acc 1.000/0.275 | pre
Ep   8500 | loss 0.0000/21.5750 | acc 1.000/0.273 | pre
Ep   8600 | loss 0.0000/21.5509 | acc 1.000/0.272 | pre
Ep   8700 | loss 0.0000/21.3074 | acc 1.000/0.271 | pre
Ep   8800 | loss 0.0000/21.0235 | acc 1.000/0.271 | pre
Ep   8900 | loss 0.0006/13.7737 | acc 1.000/0.268 | pre
Ep   9000 | loss 0.0056/9.7568 | acc 1.000/0.274 | pre
Ep   9100 | loss 0.0027/10.5651 | acc 1.000/0.275 | pre
Ep   9200 | loss 0.0010/11.7126 | acc 1.000/0.276 | pre
Ep   9300 | loss 0.0004/12.9047 | acc 1.000/0.277 | pre
Ep   9400 | loss 0.0001/14.1101 | acc 1.000/0.278 | pre
Ep   9500 | loss 0.0000/15.3089 | acc 1.000/0.277 | pre
Ep   9600 | loss 0.0000/16.4802 | acc 1.000/0.277 | pre
Ep   9700 | loss 0.0000/17.5958 | acc 1.000/0.277 | pre
