C:\Projects\Programming\6700\grok\grok_impl\metrics.py:404: UserWarning: torch.linalg.svd: During SVD computation with the selected cusolver driver, batches 0 failed to converge. A more accurate method will be used to compute the SVD as a fallback. Check doc at https://pytorch.org/docs/stable/generated/torch.linalg.svd.html (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\cuda\linalg\BatchLinearAlgebraLib.cpp:696.)
  S = torch.linalg.svdvals(acts_c)
Task: x2xyy2 mod 113
Model: transformer  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep   7800 | loss 0.0107/9.7308 | acc 1.000/0.248 | pre
Ep   7900 | loss 0.0051/10.7533 | acc 1.000/0.249 | pre
Ep   8000 | loss 0.0019/12.1207 | acc 1.000/0.249 | pre
Ep   8100 | loss 0.0007/13.5463 | acc 1.000/0.248 | pre
Ep   8200 | loss 0.0003/14.9974 | acc 1.000/0.248 | transition
Ep   8300 | loss 0.0001/16.4502 | acc 1.000/0.248 | pre
Ep   8400 | loss 0.0000/17.8918 | acc 1.000/0.249 | pre
Ep   8500 | loss 0.0000/19.2961 | acc 1.000/0.248 | pre
Ep   8600 | loss 0.0000/20.6188 | acc 1.000/0.248 | pre
Ep   8700 | loss 0.0000/21.7918 | acc 1.000/0.248 | pre
Ep   8800 | loss 0.0000/22.7099 | acc 1.000/0.248 | pre
Ep   8900 | loss 0.0000/23.2499 | acc 1.000/0.246 | pre
Ep   9000 | loss 0.0000/23.3919 | acc 1.000/0.246 | pre
Ep   9100 | loss 0.0000/23.3355 | acc 1.000/0.245 | pre
Ep   9200 | loss 0.0000/23.1774 | acc 1.000/0.243 | pre
Ep   9300 | loss 0.0000/22.9446 | acc 1.000/0.242 | pre
Ep   9400 | loss 0.0000/22.7820 | acc 1.000/0.242 | pre
Ep   9500 | loss 0.0000/22.6742 | acc 1.000/0.242 | pre
Ep   9600 | loss 0.0000/22.4937 | acc 1.000/0.241 | pre
Ep   9700 | loss 0.0038/21.0103 | acc 1.000/0.211 | pre
Ep   9800 | loss 0.0023/11.9555 | acc 1.000/0.242 | pre
Ep   9900 | loss 0.0054/10.4941 | acc 1.000/0.242 | pre
Ep  10000 | loss 0.0021/11.7739 | acc 1.000/0.241 | pre
Ep  10100 | loss 0.0008/13.1527 | acc 1.000/0.241 | pre
Ep  10200 | loss 0.0003/14.5658 | acc 1.000/0.241 | pre
Ep  10300 | loss 0.0001/15.9936 | acc 1.000/0.241 | pre
Ep  10400 | loss 0.0000/17.4235 | acc 1.000/0.240 | pre
Ep  10500 | loss 0.0000/18.8291 | acc 1.000/0.239 | pre
Ep  10600 | loss 0.0000/20.1710 | acc 1.000/0.239 | pre
Ep  10700 | loss 0.0000/21.3840 | acc 1.000/0.238 | pre
Ep  10800 | loss 0.0000/22.3737 | acc 1.000/0.237 | pre
Ep  10900 | loss 0.0000/23.0144 | acc 1.000/0.236 | pre
Ep  11000 | loss 0.0000/23.2751 | acc 1.000/0.235 | pre
Ep  11100 | loss 0.0000/23.2098 | acc 1.000/0.234 | pre
Ep  11200 | loss 0.0000/22.9433 | acc 1.000/0.234 | pre
Ep  11300 | loss 0.0000/22.7057 | acc 1.000/0.234 | pre
Ep  11400 | loss 0.0000/22.5263 | acc 1.000/0.234 | pre
Ep  11500 | loss 0.0005/15.8316 | acc 1.000/0.227 | pre
Ep  11600 | loss 0.0072/10.1273 | acc 1.000/0.238 | pre
Ep  11700 | loss 0.0055/10.4631 | acc 1.000/0.239 | pre
Ep  11800 | loss 0.0021/11.7677 | acc 1.000/0.238 | pre
Ep  11900 | loss 0.0008/13.1489 | acc 1.000/0.239 | pre
Ep  12000 | loss 0.0003/14.5605 | acc 1.000/0.239 | pre
Ep  12100 | loss 0.0001/15.9783 | acc 1.000/0.238 | pre
Ep  12200 | loss 0.0000/17.3912 | acc 1.000/0.238 | pre
Ep  12300 | loss 0.0000/18.7729 | acc 1.000/0.238 | pre
Ep  12400 | loss 0.0000/20.0876 | acc 1.000/0.239 | pre
Ep  12500 | loss 0.0000/21.2725 | acc 1.000/0.240 | pre
Ep  12600 | loss 0.0000/22.2294 | acc 1.000/0.238 | pre
Ep  12700 | loss 0.0000/22.8369 | acc 1.000/0.238 | pre
Ep  12800 | loss 0.0000/23.0698 | acc 1.000/0.237 | pre
Ep  12900 | loss 0.0000/22.9865 | acc 1.000/0.235 | pre
Ep  13000 | loss 0.0000/22.7268 | acc 1.000/0.235 | pre
Ep  13100 | loss 0.0000/22.5247 | acc 1.000/0.234 | pre
Ep  13200 | loss 0.0000/22.3084 | acc 1.000/0.233 | pre
Ep  13300 | loss 0.0000/22.2965 | acc 1.000/0.235 | pre
