Task: add mod 113
Model: mlp  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep   8400 | loss 0.0000/15.3593 | acc 1.000/0.006 | pre
Ep   8500 | loss 0.0000/15.1832 | acc 1.000/0.006 | pre
Ep   8600 | loss 0.0000/15.0024 | acc 1.000/0.006 | pre
Ep   8700 | loss 0.0000/14.8119 | acc 1.000/0.006 | pre
Ep   8800 | loss 0.0000/14.6146 | acc 1.000/0.007 | pre
Ep   8900 | loss 0.0000/14.4118 | acc 1.000/0.008 | pre
Ep   9000 | loss 0.0000/14.2082 | acc 1.000/0.009 | pre
Ep   9100 | loss 0.0000/14.0025 | acc 1.000/0.009 | pre
Ep   9200 | loss 0.0000/13.7954 | acc 1.000/0.010 | pre
Ep   9300 | loss 0.0000/13.5858 | acc 1.000/0.011 | pre
Ep   9400 | loss 0.0000/13.3747 | acc 1.000/0.012 | pre
Ep   9500 | loss 0.0000/13.1569 | acc 1.000/0.013 | pre
Ep   9600 | loss 0.0000/12.9385 | acc 1.000/0.014 | pre
Ep   9700 | loss 0.0000/12.7124 | acc 1.000/0.015 | pre
Ep   9800 | loss 0.0000/12.4821 | acc 1.000/0.016 | pre
Ep   9900 | loss 0.0000/12.2458 | acc 1.000/0.018 | pre
Ep  10000 | loss 0.0000/11.9997 | acc 1.000/0.019 | pre
Ep  10100 | loss 0.0000/11.7496 | acc 1.000/0.022 | pre
Ep  10200 | loss 0.0000/11.4936 | acc 1.000/0.023 | pre
Ep  10300 | loss 0.0000/11.2300 | acc 1.000/0.025 | pre
Ep  10400 | loss 0.0000/10.9576 | acc 1.000/0.027 | pre
Ep  10500 | loss 0.0000/10.6766 | acc 1.000/0.030 | pre
Ep  10600 | loss 0.0000/10.3937 | acc 1.000/0.033 | pre
Ep  10700 | loss 0.0000/10.1064 | acc 1.000/0.036 | pre
Ep  10800 | loss 0.0000/9.8182 | acc 1.000/0.042 | pre
Ep  10900 | loss 0.0000/9.5250 | acc 1.000/0.045 | pre
Ep  11000 | loss 0.0000/9.2286 | acc 1.000/0.049 | pre
Ep  11100 | loss 0.0000/8.9312 | acc 1.000/0.054 | pre
Ep  11200 | loss 0.0000/8.6324 | acc 1.000/0.059 | pre
Ep  11300 | loss 0.0000/8.3315 | acc 1.000/0.065 | pre
Ep  11400 | loss 0.0000/8.0298 | acc 1.000/0.071 | pre
Ep  11500 | loss 0.0000/7.7267 | acc 1.000/0.080 | pre
Ep  11600 | loss 0.0000/7.4264 | acc 1.000/0.087 | pre
Ep  11700 | loss 0.0000/7.1285 | acc 1.000/0.099 | pre
Ep  11800 | loss 0.0000/6.8354 | acc 1.000/0.108 | pre
Ep  11900 | loss 0.0000/6.5496 | acc 1.000/0.119 | pre
Ep  12000 | loss 0.0000/6.2712 | acc 1.000/0.130 | pre
Ep  12100 | loss 0.0000/6.0000 | acc 1.000/0.146 | transition
Ep  12200 | loss 0.0000/5.7339 | acc 1.000/0.162 | transition
Ep  12300 | loss 0.0000/5.4698 | acc 1.000/0.177 | transition
Ep  12400 | loss 0.0000/5.2093 | acc 1.000/0.193 | transition
Ep  12500 | loss 0.0000/4.9572 | acc 1.000/0.208 | transition
Ep  12600 | loss 0.0000/4.7130 | acc 1.000/0.223 | transition
Ep  12700 | loss 0.0000/4.4748 | acc 1.000/0.242 | transition
Ep  12800 | loss 0.0000/4.2432 | acc 1.000/0.262 | transition
Ep  12900 | loss 0.0000/4.0216 | acc 1.000/0.280 | transition
Ep  13000 | loss 0.0000/3.8073 | acc 1.000/0.302 | transition
Ep  13100 | loss 0.0000/3.6018 | acc 1.000/0.323 | transition
Ep  13200 | loss 0.0000/3.4076 | acc 1.000/0.342 | transition
Ep  13300 | loss 0.0000/3.2226 | acc 1.000/0.364 | transition
Ep  13400 | loss 0.0000/3.0441 | acc 1.000/0.386 | transition
Ep  13500 | loss 0.0000/2.8730 | acc 1.000/0.407 | transition
Ep  13600 | loss 0.0000/2.7085 | acc 1.000/0.428 | transition
Ep  13700 | loss 0.0000/2.5493 | acc 1.000/0.447 | transition
Ep  13800 | loss 0.0000/2.3989 | acc 1.000/0.469 | transition
Ep  13900 | loss 0.0000/2.2570 | acc 1.000/0.490 | transition
Ep  14000 | loss 0.0000/2.1215 | acc 1.000/0.514 | transition
Ep  14100 | loss 0.0000/1.9922 | acc 1.000/0.535 | transition
Ep  14200 | loss 0.0000/1.8692 | acc 1.000/0.555 | transition
Ep  14300 | loss 0.0000/1.7506 | acc 1.000/0.577 | transition
Ep  14400 | loss 0.0000/1.6381 | acc 1.000/0.593 | transition
Ep  14500 | loss 0.0000/1.5317 | acc 1.000/0.613 | transition
Ep  14600 | loss 0.0000/1.4304 | acc 1.000/0.632 | transition
Ep  14700 | loss 0.0000/1.3335 | acc 1.000/0.652 | transition
Ep  14800 | loss 0.0000/1.2408 | acc 1.000/0.670 | transition
Ep  14900 | loss 0.0000/1.1531 | acc 1.000/0.689 | transition
Ep  15000 | loss 0.0000/1.0686 | acc 1.000/0.708 | transition
Ep  15100 | loss 0.0000/0.9867 | acc 1.000/0.727 | transition
Ep  15200 | loss 0.0000/0.9079 | acc 1.000/0.744 | transition
Ep  15300 | loss 0.0000/0.8323 | acc 1.000/0.762 | transition
Ep  15400 | loss 0.0000/0.7603 | acc 1.000/0.778 | transition
Ep  15500 | loss 0.0000/0.6925 | acc 1.000/0.794 | transition
Ep  15600 | loss 0.0000/0.6295 | acc 1.000/0.809 | transition
Ep  15700 | loss 0.0000/0.5713 | acc 1.000/0.825 | transition
Ep  15800 | loss 0.0000/0.5171 | acc 1.000/0.840 | transition
Ep  15900 | loss 0.0000/0.4676 | acc 1.000/0.856 | transition
Ep  16000 | loss 0.0000/0.4214 | acc 1.000/0.870 | transition
Ep  16100 | loss 0.0000/0.3789 | acc 1.000/0.881 | transition
Ep  16200 | loss 0.0000/0.3394 | acc 1.000/0.895 | transition
Ep  16300 | loss 0.0000/0.3030 | acc 1.000/0.906 | transition
Ep  16400 | loss 0.0000/0.2692 | acc 1.000/0.919 | transition
Ep  16500 | loss 0.0000/0.2377 | acc 1.000/0.930 | transition
Ep  16600 | loss 0.0000/0.2092 | acc 1.000/0.939 | transition
Ep  16700 | loss 0.0000/0.1840 | acc 1.000/0.945 | transition
Ep  16800 | loss 0.0000/0.1612 | acc 1.000/0.952 | transition
Ep  16900 | loss 0.0000/0.1407 | acc 1.000/0.958 | pre
Ep  17000 | loss 0.0000/0.1224 | acc 1.000/0.963 | pre
Ep  17100 | loss 0.0000/0.1064 | acc 1.000/0.969 | post
