epoch,grad_norm_layers_0_weight,grad_norm_layers_0_bias,grad_norm_layers_1_weight,grad_norm_layers_1_bias,grad_norm_layers_2_weight,grad_norm_layers_2_bias,train_loss,test_loss,train_acc,test_acc,acc_gap,grokking_score,l2_layers_0_weight,eff_rank_layers_0_weight,condition_number_layers_0_weight,weight_dist_init_layers_0_weight,sign_stability_layers_0_weight,update_weight_ratio_layers_0_weight,l2_layers_0_bias,weight_dist_init_layers_0_bias,sign_stability_layers_0_bias,update_weight_ratio_layers_0_bias,l2_layers_1_weight,eff_rank_layers_1_weight,condition_number_layers_1_weight,weight_dist_init_layers_1_weight,sign_stability_layers_1_weight,update_weight_ratio_layers_1_weight,l2_layers_1_bias,weight_dist_init_layers_1_bias,sign_stability_layers_1_bias,update_weight_ratio_layers_1_bias,l2_layers_2_weight,eff_rank_layers_2_weight,condition_number_layers_2_weight,weight_dist_init_layers_2_weight,sign_stability_layers_2_weight,update_weight_ratio_layers_2_weight,l2_layers_2_bias,weight_dist_init_layers_2_bias,sign_stability_layers_2_bias,update_weight_ratio_layers_2_bias,dead_frac_hidden_0,sparsity_hidden_0,dead_frac_hidden_1,sparsity_hidden_1,margin,test_entropy,sharpness,fourier_mean_top_freq_hidden_0,fourier_mean_frac_explained_hidden_0,fourier_mean_entropy_hidden_0,fourier_key_freqs_hidden_0,fourier_mean_top_freq_hidden_1,fourier_mean_frac_explained_hidden_1,fourier_mean_entropy_hidden_1,fourier_key_freqs_hidden_1,phase,cka_vs_prev
0,0.003430534154176712,0.0021841865964233875,0.0038959584198892117,0.006162300240248442,0.007351886481046677,0.01370352040976286,4.7282938957214355,4.728549003601074,0.008093995042145252,0.009173285216093063,-0.0010792901739478111,1.133344555850105,8.172334671020508,168.38389587402344,31.75021743774414,0.01949479803442955,0.9992256760597229,0.002385462517040454,0.5561145544052124,0.001413319492712617,1.0,0.0025414179174364907,8.173359870910645,160.3113555908203,1821.8577880859375,0.019000224769115448,0.9993749856948853,0.0023246529051948518,0.5888777375221252,0.0013791517121717334,1.0,0.0023420000864269657,6.118644714355469,103.12525939941406,6.763308525085449,0.014242022298276424,0.998982310295105,0.0023276432875505935,0.44280555844306946,0.00107174355071038,1.0,0.002420348006648096,0.0,0.5214229822158813,0.054999999701976776,0.4722624123096466,4.425644874572754e-06,4.726334571838379,0.07192610949277878,27.775,0.04552756715110904,5.946770522594452,"[8, 12, 48]",27.925,0.03445706328875188,6.358914287090301,"[35, 36, 0]",pre,
200,0.06380091607570648,0.018648849800229073,0.047419387847185135,0.0031887239310890436,0.05830930545926094,0.0008321648347191513,1.338726282119751,8.828851699829102,0.8365535140037537,0.0,0.8365535140037537,0.0,33.739105224609375,166.12152099609375,28.168468475341797,30.29943084716797,0.6830752491950989,0.0051155678324358266,1.2478944063186646,1.125253677368164,0.47999998927116394,0.0019350229380278002,35.8599739074707,129.86886596679688,790.90185546875,32.178585052490234,0.692674994468689,0.004805318821853402,1.7852693796157837,1.6840636730194092,0.5699999928474426,0.004964020377706218,27.85964012145996,91.82640075683594,14.008538246154785,24.622121810913086,0.7194690108299255,0.004617239529044482,0.8565413951873779,0.7314389944076538,0.6371681690216064,0.005653957893771772,0.0,0.3522323668003082,0.03500000014901161,0.06101566553115845,0.0005412101745605469,3.031407356262207,,,,,,,,,,pre,0.32459375262260437
400,0.0071858810260891914,0.0035089044831693172,0.005558816250413656,0.00031747270259074867,0.006814642809331417,4.9424412281950936e-05,0.04537669196724892,14.2919340133667,1.0,0.0,1.0,0.0,44.65580368041992,167.81895446777344,37.96470260620117,41.50348663330078,0.6647345423698425,0.0010293846724764829,1.1168888807296753,1.0023887157440186,0.48500001430511475,0.0008182267573559022,48.94203186035156,130.37840270996094,2368.358154296875,45.623111724853516,0.6764500141143799,0.0010046815653580788,2.627739191055298,2.5652267932891846,0.5400000214576721,0.0009486002907874827,38.70927047729492,92.81990814208984,14.087522506713867,35.672142028808594,0.7126106023788452,0.0008954512679561953,1.0893809795379639,1.0497204065322876,0.5752212405204773,0.0013089232536447886,0.0,0.3794190585613251,0.029999999329447746,0.05647258460521698,3.07637882232666,1.727753758430481,,,,,,,,,,pre,0.9212730228900909
600,0.001188954571262002,0.0006807998870499432,0.0009308919543400407,5.283741484163329e-05,0.0011395674664527178,6.510249477287289e-06,0.0060483915731310844,16.785587310791016,1.0,0.0,1.0,0.0,48.14369583129883,168.18792724609375,32.13087463378906,45.13734817504883,0.6577433347702026,0.000752067694030885,0.9989429116249084,0.9037966728210449,0.48500001430511475,0.0006847536170347399,53.25063705444336,130.60719299316406,7306.0869140625,50.15592956542969,0.6676999926567078,0.000744850396593928,2.9762585163116455,2.9303083419799805,0.5350000262260437,0.0007150214278460328,42.369354248046875,93.10173797607422,14.102445602416992,39.48708724975586,0.708495557308197,0.0006467439039373552,1.1774203777313232,1.1749389171600342,0.5398229956626892,0.001025935722845173,0.0,0.38699477910995483,0.029999999329447746,0.055812008678913116,5.169109344482422,1.3791725635528564,,,,,,,,,,pre,0.9843518435955048
800,0.00020878887153230608,0.00012884053285233676,0.0001649657206144184,9.425742973689921e-06,0.0002017009537667036,9.524051165499259e-07,0.0009168469696305692,19.18617820739746,1.0,0.0003356079978402704,0.9996643920021597,0.0003356079978402704,51.045318603515625,168.36117553710938,34.617034912109375,48.14799499511719,0.653407096862793,0.0006274182409200758,0.9044976830482483,0.829298734664917,0.48500001430511475,0.0007024979284532216,56.706634521484375,130.80738830566406,22855.921875,53.80257034301758,0.6630250215530396,0.0006172046377465607,3.3004724979400635,3.263103485107422,0.5299999713897705,0.0005842761031872362,45.28184509277344,93.25729370117188,13.704734802246094,42.53081512451172,0.7063274383544922,0.00052623763889791,1.2626756429672241,1.2858537435531616,0.5486725568771362,0.0008760365251535321,0.0,0.3919621407985687,0.029999999329447746,0.055271539837121964,7.067878723144531,1.1446608304977417,,,,,,,,,,pre,0.9898203909397125
1000,3.799535988946445e-05,2.421834687993396e-05,3.0227047318476252e-05,1.7145622450698284e-06,3.690521771204658e-05,1.5592016211485316e-07,0.00014857965288683772,21.50730323791504,1.0,0.0003356079978402704,0.9996643920021597,0.0003356079978402704,53.63314437866211,168.3679962158203,37.16118621826172,50.81754684448242,0.6505752205848694,0.0005333983094597701,0.830588698387146,0.77397620677948,0.49000000953674316,0.0006450997698433566,59.618751525878906,131.00250244140625,13857.4677734375,56.87329864501953,0.6580250263214111,0.0005100127317667472,3.6089518070220947,3.5754759311676025,0.5350000262260437,0.000489533062059487,47.737449645996094,93.32597351074219,13.742460250854492,45.09028244018555,0.7030088305473328,0.00043429228439805754,1.3414572477340698,1.3831119537353516,0.5486725568771362,0.0006951428998169504,0.0,0.3954804241657257,0.029999999329447746,0.05466057360172272,8.775941848754883,0.9756235480308533,,,,,,,,,,pre,0.992541491985321
1200,7.624303634656826e-06,4.879343123320723e-06,6.134614068287192e-06,3.237639987219154e-07,7.466072020179126e-06,2.8269354857002327e-08,2.7397816666052677e-05,23.62076187133789,1.0,0.0004474773595575243,0.9995525226404425,0.0004474773595575243,55.84285354614258,168.33773803710938,39.07172393798828,53.09008026123047,0.6494026780128479,0.00041933244531220276,0.7829616665840149,0.740570604801178,0.49000000953674316,0.0005808902323991732,61.79893112182617,130.70301818847656,21268.294921875,59.17417526245117,0.6547999978065491,0.0003565027339001559,3.859513282775879,3.8281326293945312,0.5400000214576721,0.00031020744257101814,49.79587173461914,93.26756286621094,13.989311218261719,47.22341537475586,0.701858401298523,0.0003167257136924091,1.3611615896224976,1.4162863492965698,0.5398229956626892,0.00042573045276100076,0.0,0.3984203636646271,0.02500000037252903,0.05417754501104355,10.424299240112305,0.856978714466095,,,,,,,,,,pre,0.994823694229126
1400,2.1255723368085455e-06,1.7443805973016424e-06,1.7577019661985105e-06,9.410747026095123e-08,2.108537273670663e-06,8.45777758939903e-09,7.3612845881143585e-06,25.02271842956543,1.0,0.0004474773595575243,0.9995525226404425,0.0004474773595575243,57.2552375793457,168.3623809814453,35.7791862487793,54.551666259765625,0.6468362808227539,0.0002873713643305932,0.7864971160888672,0.7427070140838623,0.49000000953674316,0.0007264230225357159,62.553977966308594,129.09141540527344,11749.62109375,60.002647399902344,0.6531999707221985,0.00023072589183555006,3.9656662940979004,3.936284303665161,0.5450000166893005,0.0001306289383981279,51.3287239074707,92.85115814208984,14.469505310058594,48.79364013671875,0.7010176777839661,0.0002142159406040474,1.2600089311599731,1.3263126611709595,0.5221238732337952,0.0006578446465143214,0.0,0.4008159339427948,0.02500000037252903,0.05357310548424721,11.867624282836914,0.7875256538391113,,,,,,,,,,pre,0.9969247281551361
1600,1.1458849940026994e-06,9.95686150417896e-07,9.73002215687302e-07,5.0110493532429246e-08,1.138831976277288e-06,5.865423702289263e-09,3.949150141124846e-06,25.253154754638672,1.0,0.00022373867977876216,0.9997762613202212,0.00022373867977876216,57.48879623413086,168.4279022216797,30.446603775024414,54.8217887878418,0.6458407044410706,0.00023435434037359003,0.8488325476646423,0.7865175008773804,0.49000000953674316,0.0008713319119680947,61.67872619628906,126.21128845214844,6771.07958984375,59.170047760009766,0.6523000001907349,0.00023416466774703025,3.888242721557617,3.8616490364074707,0.5450000166893005,0.00020453832336538028,52.18955993652344,91.9726791381836,15.39942741394043,49.661922454833984,0.6998230218887329,0.0001954068643475928,1.1007627248764038,1.1774091720581055,0.5132743120193481,0.0008212601748067739,0.0,0.4018302857875824,0.02500000037252903,0.05273759737610817,12.564325332641602,0.7681618332862854,,,,,,,,,,pre,0.9980647265911102
1800,9.980209370041848e-07,9.674181455920916e-07,8.630676120446878e-07,4.4166963419911554e-08,9.80822733254172e-07,4.87490803280366e-09,3.43129090651928e-06,24.850170135498047,1.0,0.0003356079978402704,0.9996643920021597,0.0003356079978402704,57.13120651245117,168.5189208984375,27.043638229370117,54.49571990966797,0.6447345018386841,0.00021595535301901405,0.9256231784820557,0.8451054096221924,0.5,0.0009337971648336894,60.27800369262695,123.02204895019531,4458.89404296875,57.80500793457031,0.6514999866485596,0.000214808508130501,3.751685857772827,3.7282803058624268,0.5450000166893005,0.00021079058310524546,52.58598327636719,90.91416931152344,16.556598663330078,50.06084442138672,0.6996902823448181,0.00015669777385886755,0.9531137347221375,1.0406380891799927,0.4955752193927765,0.0007941334275319336,0.0,0.40305089950561523,0.02500000037252903,0.05198172479867935,12.717950820922852,0.7756497859954834,,,,,,,,,,pre,0.9985494017601013
