epoch,grad_norm_layers_0_weight,grad_norm_layers_0_bias,grad_norm_layers_1_weight,grad_norm_layers_1_bias,grad_norm_layers_2_weight,grad_norm_layers_2_bias,train_loss,test_loss,train_acc,test_acc,acc_gap,grokking_score,l2_layers_0_weight,eff_rank_layers_0_weight,condition_number_layers_0_weight,weight_dist_init_layers_0_weight,sign_stability_layers_0_weight,update_weight_ratio_layers_0_weight,l2_layers_0_bias,weight_dist_init_layers_0_bias,sign_stability_layers_0_bias,update_weight_ratio_layers_0_bias,l2_layers_1_weight,eff_rank_layers_1_weight,condition_number_layers_1_weight,weight_dist_init_layers_1_weight,sign_stability_layers_1_weight,update_weight_ratio_layers_1_weight,l2_layers_1_bias,weight_dist_init_layers_1_bias,sign_stability_layers_1_bias,update_weight_ratio_layers_1_bias,l2_layers_2_weight,eff_rank_layers_2_weight,condition_number_layers_2_weight,weight_dist_init_layers_2_weight,sign_stability_layers_2_weight,update_weight_ratio_layers_2_weight,l2_layers_2_bias,weight_dist_init_layers_2_bias,sign_stability_layers_2_bias,update_weight_ratio_layers_2_bias,total_weight_sq,dead_frac_hidden_0,sparsity_hidden_0,dead_frac_hidden_1,sparsity_hidden_1,margin,test_entropy,test_confidence,sharpness,fourier_mean_top_freq_hidden_0,fourier_mean_frac_explained_hidden_0,fourier_mean_entropy_hidden_0,fourier_key_freqs_hidden_0,fourier_mean_top_freq_hidden_1,fourier_mean_frac_explained_hidden_1,fourier_mean_entropy_hidden_1,fourier_key_freqs_hidden_1,logit_fourier_frac,logit_fourier_entropy,idim_hidden_0,idim_hidden_1,group_assoc_frac,group_has_identity,weight_fourier_frac_x_layers_0_weight,weight_fourier_frac_y_layers_0_weight,weight_fourier_frac_mean_layers_0_weight,phase,grad_alignment,cka_vs_prev
0,0.0029920993838459253,0.0022144096437841654,0.003427845425903797,0.005358573514968157,0.006757607217878103,0.012651204131543636,4.728330612182617,4.727787494659424,0.010494987480342388,0.008300704881548882,0.0021942825987935066,0.7909208941026845,8.172417412985604,168.3888702392578,31.47899055480957,0.019547361880540848,0.9992035031318665,0.0023918701588652464,0.556157327283011,0.0014121533604338765,1.0,0.0025391255893001136,8.173226764392844,160.3083038330078,2318.995361328125,0.019027812406420708,0.9993749856948853,0.002328066246602053,0.589028002793803,0.0013730027712881565,1.0,0.0023309635014799263,6.118518436090816,103.12590026855469,6.766589641571045,0.014222864992916584,0.9990707635879517,0.0023245603222037114,0.442586603445404,0.0010807925136759877,1.0,0.002441991040329837,171.8784578293562,0.0,0.5210416316986084,0.05999999865889549,0.4723895490169525,1.4901161193847656e-08,4.7263383865356445,0.005867108702659607,0.049743931740522385,27.73,0.0455136308376946,5.9469247460365295,"[8, 12, 48]",27.545,0.034454370586719005,6.35860137462616,"[36, 0, 35]",0.8630445579192599,1.0626739382875705,102.0,63.0,0.35295727849006653,0.0,0.08225107192993164,0.07990815490484238,0.08107961341738701,pre,,
100,0.03513781726360321,0.013220286928117275,0.02925875410437584,0.003336898051202297,0.03896362707018852,0.0011634043185040355,3.7475736141204834,5.075849533081055,0.12687969207763672,0.003915426786988974,0.12296426529064775,0.030859365457737348,20.303455017423296,154.59129333496094,41.59468460083008,16.741947174072266,0.6835840344429016,0.010827981747149657,1.438068277565833,1.3732733726501465,0.4650000035762787,0.004722227292371606,20.96128983117973,133.55987548828125,1957.8104248046875,16.920255661010742,0.6988750100135803,0.009954707922006983,1.108363052677198,0.9247678518295288,0.6200000047683716,0.008927531296171074,16.051572652520395,92.169189453125,12.929697036743164,12.667728424072266,0.7264159321784973,0.00977541168997464,0.6392360377019559,0.42581290006637573,0.8230088353157043,0.0075928043267064205,1112.9640733897686,0.0,0.25369516015052795,0.029999999329447746,0.0469353049993515,7.176399230957031e-05,4.251932144165039,0.28386712074279785,,,,,,,,,,,,,,,,,,,pre,0.06463243067264557,0.3119962140917778
200,0.05091667175292969,0.011198143474757671,0.0368511937558651,0.0022473556455224752,0.04585503414273262,0.0005802953965030611,2.0205583572387695,6.260847568511963,0.5532581210136414,0.0037588095292448997,0.5494993114843965,0.006793952743718011,32.47375931341046,162.93795776367188,34.5408935546875,29.303207397460938,0.6680752038955688,0.00544916029254061,1.3497210620647382,1.2469040155410767,0.4650000035762787,0.002295084859943416,34.97628067649471,128.7534942626953,3979.337158203125,31.311811447143555,0.691474974155426,0.0049700696113143,1.8595621992490534,1.7391059398651123,0.5550000071525574,0.004750747284882024,26.721123341229266,91.970703125,13.584481239318848,23.511661529541016,0.7223008871078491,0.00476574654643071,0.8862160757698322,0.7169365882873535,0.7168141603469849,0.005601107270504597,2997.9687839746475,0.0,0.32164472341537476,0.02499999850988388,0.04966557025909424,0.00013017654418945312,3.170578956604004,0.48270589113235474,,,,,,,,,,,,,,,,,,,pre,0.6534395813941956,0.7809267640113831
300,0.04012618213891983,0.014127704314887524,0.028497355058789253,0.0015088781947270036,0.034447163343429565,0.00029405709938146174,0.5812193751335144,8.264894485473633,0.982926070690155,0.005481597501784563,0.9774444731883705,0.005576815658105086,41.72428129296013,165.8237762451172,36.101497650146484,38.79273223876953,0.6536946892738342,0.0030479508305852106,1.2595429452841276,1.1544181108474731,0.4699999988079071,0.0010785528015085353,46.02966943993841,129.63232421875,3664.0693359375,42.62141036987305,0.6802749633789062,0.0027900466285434547,2.4881865814261714,2.3933093547821045,0.5450000166893005,0.002174781490679424,35.89356349529292,92.7948989868164,15.810394287109375,32.793601989746094,0.7139380574226379,0.0026069092765260943,1.1486124437430258,1.0282536745071411,0.6637167930603027,0.0036425116577030615,5157.090849995613,0.0,0.3485361933708191,0.02499999850988388,0.05097352713346481,3.719329833984375e-05,2.189379930496216,0.8342440128326416,,,,,,,,,,,,,,,,,,,pre,0.7819347977638245,0.9345369040966034
400,0.014320874586701393,0.006370140705257654,0.010578140616416931,0.000585223373491317,0.012803804129362106,9.459516877541319e-05,0.12475261092185974,10.502917289733887,1.0,0.006264682859182358,0.9937353171408176,0.006264682859182358,47.174563624107854,166.37351989746094,34.716888427734375,44.34608459472656,0.6458185911178589,0.0014396524607875015,1.214840708051105,1.1132521629333496,0.4699999988079071,0.0008338734077339394,52.53062722712342,130.301025390625,19386.03515625,49.28032684326172,0.6708499789237976,0.0013454780612960709,2.7852106075680383,2.7020528316497803,0.5450000166893005,0.0009518002210876201,41.44901682903649,93.2457275390625,15.966841697692871,38.4214973449707,0.7089822888374329,0.0012220442837959135,1.3006035394103326,1.2105536460876465,0.6283186078071594,0.0016604802625223266,6713.852051734924,0.0,0.35820645093917847,0.019999999552965164,0.052102912217378616,1.7089433670043945,1.5968533754348755,1.1580843925476074,,,,,,,,,,,,,,,,,,,pre,0.8292018175125122,0.9830451607704163
500,0.00561560457572341,0.0034681169781833887,0.004247901029884815,0.0002705716760829091,0.005132830236107111,3.42553285008762e-05,0.04095739126205444,11.978902816772461,1.0,0.005481597501784563,0.9945184024982154,0.005481597501784563,49.97241915078006,166.54489135742188,33.3819694519043,47.21079635620117,0.6418583989143372,0.0009736676937523521,1.1624376875061282,1.0672812461853027,0.4699999988079071,0.0007508249945436393,55.9106691937013,130.67398071289062,12070.8125,52.77497100830078,0.665524959564209,0.0009242000421899048,2.9332556396367737,2.8593297004699707,0.5399999618530273,0.000633693856005434,44.366160541248945,93.4726333618164,16.285951614379883,41.39837646484375,0.7058849334716797,0.000807264096405577,1.3709212409282034,1.2996861934661865,0.6283186078071594,0.0011422341603786169,7603.436481714249,0.0,0.3630693852901459,0.019999999552965164,0.05238878354430199,2.9079818725585938,1.340865969657898,1.3716039657592773,,27.195,0.05788607902247012,5.593528416156769,"[32, 10, 7]",27.07,0.07224630466256285,5.567322700023651,"[39, 9, 17]",0.08031972450988942,5.7390899658203125,126.0,55.0,0.009708939120173454,0.0,0.08592962473630905,0.0838778018951416,0.08490371331572533,pre,0.7793809175491333,0.9938783943653107
600,0.0024131506215780973,0.0016077416948974133,0.0018539837328717113,0.00012342541594989598,0.0022382009774446487,1.4530884982377756e-05,0.015740245580673218,13.227923393249512,1.0,0.00563821429386735,0.9943617857061327,0.00563821429386735,52.102363190166336,166.54417419433594,34.33854675292969,49.39431381225586,0.6387831568717957,0.0008158598374813172,1.1125450510911445,1.024487853050232,0.4650000035762787,0.0006598775024098054,58.447091458857045,131.0776824951172,2747.060546875,55.41008377075195,0.6606749892234802,0.0007741703722783277,3.0480776247367616,2.9810738563537598,0.5399999618530273,0.0004926680251620235,46.55065914879724,93.63545227050781,16.372819900512695,43.63848876953125,0.7040265202522278,0.0006713580692324561,1.4218542076518896,1.3655732870101929,0.5752212405204773,0.0009913799559771225,8310.232820272446,0.0,0.36637842655181885,0.019999999552965164,0.052882205694913864,3.7957963943481445,1.174141764640808,1.553003191947937,,,,,,,,,,,,,,,,,,,pre,0.710142970085144,0.9959836602210999
700,0.001064445823431015,0.0008446404244750738,0.00082616280997172,6.52734306640923e-05,0.0009954092092812061,7.35636558601982e-06,0.006328023038804531,14.446113586425781,1.0,0.0057948315516114235,0.9942051684483886,0.0057948315516114235,54.008386031418766,166.5240020751953,36.85298156738281,51.34613800048828,0.6363495588302612,0.0007215022266339096,1.0687763300100648,0.9868022203445435,0.4699999988079071,0.0006349774384732117,60.663297343049614,131.53216552734375,1625.5601806640625,57.71419143676758,0.656499981880188,0.0006827974372330572,3.1471344402386947,3.084871530532837,0.5399999618530273,0.00043964273662610014,48.45165115865506,93.77607727050781,16.43039321899414,45.591827392578125,0.7023893594741821,0.0005886785896740179,1.4674205850821873,1.4259227514266968,0.5840708017349243,0.0009087712403051403,8957.70396745205,0.0,0.3691408038139343,0.019999999552965164,0.05327537655830383,4.734692573547363,1.0436853170394897,1.731797218322754,,,,,,,,,,,,,,,,,,,pre,0.6691229343414307,0.9969779253005981
800,0.0004713773960247636,0.0002911991614382714,0.00036575045669451356,2.155223955924157e-05,0.00044161718687973917,2.126281515302253e-06,0.0026107579469680786,15.665942192077637,1.0,0.0057948315516114235,0.9942051684483886,0.0057948315516114235,55.77036833637555,166.5063018798828,37.88360595703125,53.1474723815918,0.6344690322875977,0.0006508013312467206,1.029598705764141,0.9544366598129272,0.4699999988079071,0.0006017959415053433,62.66541781432363,131.95809936523438,1478.656982421875,59.79545593261719,0.6530749797821045,0.0006102012276901959,3.233322193349413,3.1747119426727295,0.5349999666213989,0.00037945889095130893,50.17177767819898,93.90037536621094,16.620935440063477,47.3597526550293,0.7009291648864746,0.0005241496549563268,1.51358193407185,1.4856972694396973,0.5575221180915833,0.0008146569800681208,9568.30122578144,0.0,0.37126410007476807,0.019999999552965164,0.05364661663770676,5.6410369873046875,0.938286304473877,1.9110476970672607,,,,,,,,,,,,,,,,,,,pre,0.8086559772491455,0.9975983202457428
900,0.00021167515660636127,0.0001661277492530644,0.0001665327581577003,1.227950633619912e-05,0.00020020749070681632,1.1953389957852778e-06,0.0010956439655274153,16.886316299438477,1.0,0.00563821429386735,0.9943617857061327,0.00563821429386735,57.433434210696255,166.4720001220703,37.359840393066406,54.84488296508789,0.6332743167877197,0.0006015523632498175,0.9941107664889232,0.9259867668151855,0.4699999988079071,0.0005876795185629494,64.49546147428708,132.27471923828125,7308.92919921875,61.69477462768555,0.6507749557495117,0.000549403010905538,3.301288127917318,3.2458620071411133,0.5349999666213989,0.00031458905688919365,51.75275977695537,94.02229309082031,16.716808319091797,48.984127044677734,0.6996902227401733,0.00046779007804279607,1.5604659001011263,1.5439945459365845,0.5486725568771362,0.0007437876491714717,10150.93387389183,0.0,0.3731257915496826,0.019999999552965164,0.05390429124236107,6.577526092529297,0.8498384952545166,2.0889546871185303,,,,,,,,,,,,,,,,,,,pre,0.7116950750350952,0.9980074465274811
