epoch,grad_norm_layers_0_weight,grad_norm_layers_0_bias,grad_norm_layers_1_weight,grad_norm_layers_1_bias,grad_norm_layers_2_weight,grad_norm_layers_2_bias,train_loss,test_loss,train_acc,test_acc,acc_gap,grokking_score,l2_layers_0_weight,eff_rank_layers_0_weight,condition_number_layers_0_weight,weight_dist_init_layers_0_weight,sign_stability_layers_0_weight,update_weight_ratio_layers_0_weight,l2_layers_0_bias,weight_dist_init_layers_0_bias,sign_stability_layers_0_bias,update_weight_ratio_layers_0_bias,l2_layers_1_weight,eff_rank_layers_1_weight,condition_number_layers_1_weight,weight_dist_init_layers_1_weight,sign_stability_layers_1_weight,update_weight_ratio_layers_1_weight,l2_layers_1_bias,weight_dist_init_layers_1_bias,sign_stability_layers_1_bias,update_weight_ratio_layers_1_bias,l2_layers_2_weight,eff_rank_layers_2_weight,condition_number_layers_2_weight,weight_dist_init_layers_2_weight,sign_stability_layers_2_weight,update_weight_ratio_layers_2_weight,l2_layers_2_bias,weight_dist_init_layers_2_bias,sign_stability_layers_2_bias,update_weight_ratio_layers_2_bias,dead_frac_hidden_0,sparsity_hidden_0,dead_frac_hidden_1,sparsity_hidden_1,margin,test_entropy,sharpness,fourier_mean_top_freq_hidden_0,fourier_mean_frac_explained_hidden_0,fourier_mean_entropy_hidden_0,fourier_key_freqs_hidden_0,fourier_mean_top_freq_hidden_1,fourier_mean_frac_explained_hidden_1,fourier_mean_entropy_hidden_1,fourier_key_freqs_hidden_1,phase,cka_vs_prev
0,0.0038632673677057028,0.002720231655985117,0.004202973563224077,0.006202313117682934,0.008516741916537285,0.016029110178351402,4.727015972137451,4.728077411651611,0.007049608509987593,0.008725808002054691,-0.0016761994920670986,1.2377719967984504,8.172401428222656,168.3846893310547,31.584123611450195,0.0194987989962101,0.9991592764854431,0.00238593260101893,0.5561763048171997,0.0014112950302660465,1.0,0.002537495786933788,8.173394203186035,160.3095245361328,2325.63916015625,0.019020479172468185,0.9993749856948853,0.0023271212301315277,0.5890159010887146,0.0013734925305470824,1.0,0.0023318428721675784,6.118648052215576,103.12678527832031,6.7567033767700195,0.01424440462142229,0.9988937973976135,0.002328031372267663,0.4428297281265259,0.0010708039626479149,1.0,0.0024180941220413353,0.0,0.5214856266975403,0.05999999865889549,0.4721214175224304,9.164214134216309e-07,4.726329326629639,0.06978747248649597,27.725,0.045518701472295156,5.947026975154877,"[8, 12, 48]",28.085,0.034465126926379125,6.358233478069305,"[36, 0, 35]",pre,
200,0.05991257354617119,0.015752442181110382,0.04354503005743027,0.0029222778975963593,0.05487097427248955,0.0007201045518741012,1.2498410940170288,7.581976413726807,0.8057441115379333,0.007718984037637711,0.7980251275002956,0.009579944708381914,32.59687805175781,163.03021240234375,37.86549758911133,29.427919387817383,0.6681637167930603,0.005243127829553535,1.4303631782531738,1.3214054107666016,0.4699999988079071,0.001790650311738567,35.00766372680664,128.1419219970703,1535.9993896484375,31.321378707885742,0.6953750252723694,0.004767489033647963,1.6758230924606323,1.60020112991333,0.5799999833106995,0.004981340060619628,26.640867233276367,91.01327514648438,13.530891418457031,23.3685302734375,0.7281416058540344,0.004630719586493977,0.8537120819091797,0.710430920124054,0.6460176706314087,0.005074491289725162,0.0,0.32012009620666504,0.03500000014901161,0.05488772690296173,0.00012254714965820312,2.7748634815216064,,,,,,,,,,pre,0.3095352053642273
400,0.006757429335266352,0.0037421390879899263,0.005139127839356661,0.0002838735526893288,0.006401401944458485,3.517667209962383e-05,0.042249541729688644,12.28126335144043,1.0,0.009061416611075401,0.9909385833889246,0.009061416611075401,43.4710578918457,166.53036499023438,34.30075454711914,40.55863571166992,0.6521681547164917,0.0010725644168617626,1.275253176689148,1.1635627746582031,0.4749999940395355,0.0008219997616404391,48.0174446105957,128.11572265625,1241.7532958984375,44.6923828125,0.6807000041007996,0.0009951008010138642,2.4905292987823486,2.4390456676483154,0.550000011920929,0.0009897282846355992,37.351951599121094,91.66182708740234,14.181783676147461,34.26625442504883,0.7198672294616699,0.0008924045604761331,1.0448676347732544,0.9663578867912292,0.5840708017349243,0.0010732817943356434,0.0,0.3525143563747406,0.03500000014901161,0.055890340358018875,3.0597219467163086,1.524253010749817,,,,,,,,,,pre,0.9215571284294128
600,0.001097967498935759,0.0006013961974531412,0.0008518215618096292,4.6688855945831165e-05,0.0010608392767608166,4.431037268659566e-06,0.005540382117033005,14.553888320922852,1.0,0.009173285216093063,0.9908267147839069,0.009173285216093063,47.0462532043457,167.2763214111328,33.32716751098633,44.25874328613281,0.6468141674995422,0.0007629573758312425,1.1419953107833862,1.0415416955947876,0.47999998927116394,0.0006693531312165629,52.360877990722656,128.48976135253906,4240.55126953125,49.26209259033203,0.6714000105857849,0.0007819921997087298,2.856210231781006,2.816761016845703,0.550000011920929,0.000780964591509935,41.02402877807617,91.8366928100586,14.43264102935791,38.08512878417969,0.715663731098175,0.0007164686510386915,1.0748323202133179,1.0272464752197266,0.5575221180915833,0.0008615011988779935,0.0,0.3617924153804779,0.029999999329447746,0.052771542221307755,5.221041679382324,1.2051643133163452,,,,,,,,,,pre,0.9855289161205292
800,0.00019069614063482732,9.836906247073784e-05,0.00014935464423615485,8.178972166206222e-06,0.0001858242612797767,7.243899631248496e-07,0.0008282532216981053,16.77167510986328,1.0,0.009732631966471672,0.9902673680335283,0.009732631966471672,50.01879119873047,167.60366821289062,35.3693962097168,47.33036422729492,0.6429646015167236,0.0006253647446741283,1.0389399528503418,0.9525108337402344,0.4749999940395355,0.0005872572487080133,55.87217712402344,129.1911163330078,6957.73779296875,52.96315002441406,0.6654999852180481,0.0006171928078817641,3.197608232498169,3.165388584136963,0.550000011920929,0.000590140207538119,43.981040954589844,92.08207702636719,14.5155029296875,41.1718864440918,0.71274334192276,0.0005421838575349676,1.1084500551223755,1.0839917659759521,0.5309734344482422,0.0008100427020012308,0.0,0.3674751818180084,0.029999999329447746,0.052471280097961426,7.094290733337402,0.9956796169281006,,,,,,,,,,pre,0.99085533618927
1000,3.436205588513985e-05,2.0037618014612235e-05,2.716694689297583e-05,1.483963728787785e-06,3.370129343238659e-05,1.0940053130070737e-07,0.00013281460269354284,18.978500366210938,1.0,0.009061416611075401,0.9909385833889246,0.009061416611075401,52.66701126098633,167.78598022460938,34.60537338256836,50.06263732910156,0.6400884985923767,0.0005307253738178168,0.9576974511146545,0.8838353157043457,0.4749999940395355,0.000539222935011284,58.80651092529297,129.42930603027344,2773.536376953125,56.05849075317383,0.6594499945640564,0.0005066291873951643,3.514460325241089,3.483945369720459,0.550000011920929,0.00048364975930399235,46.482032775878906,92.2405014038086,14.54201602935791,43.783138275146484,0.7094690203666687,0.0004426425489301957,1.1463783979415894,1.1404805183410645,0.5309734344482422,0.0006560266124168735,0.0,0.3721488118171692,0.02500000037252903,0.05218668282032013,8.974847793579102,0.84755939245224,,,,,,,,,,pre,0.9934867322444916
1200,6.873649454064434e-06,4.342305601312546e-06,5.509676611836767e-06,2.9907749876656453e-07,6.7906630647485144e-06,1.980709996018959e-08,2.439496893202886e-05,20.98798942565918,1.0,0.00962076336145401,0.990379236638546,0.00962076336145401,54.886295318603516,167.98931884765625,35.84280776977539,52.346824645996094,0.6375221014022827,0.00041592279948602366,0.9042173624038696,0.8400214314460754,0.4699999988079071,0.000524179243966398,60.94104766845703,129.1822509765625,7149.7529296875,58.31476974487305,0.6551499962806702,0.00034749431941507626,3.7731757164001465,3.741851568222046,0.5450000166893005,0.0003029134012705387,48.571014404296875,92.22017669677734,14.865203857421875,45.9526481628418,0.705796480178833,0.0003202200369585258,1.1361225843429565,1.1491481065750122,0.5221238732337952,0.0004738632412947523,0.0,0.375599205493927,0.019999999552965164,0.05106266215443611,10.646475791931152,0.7452859282493591,,,,,,,,,,pre,0.9953748881816864
1400,1.9543269900168525e-06,1.5973470226526842e-06,1.6143881111929659e-06,8.62207514273905e-08,1.9562589841370936e-06,6.568942723106375e-09,6.7026817305304576e-06,22.34569549560547,1.0,0.00962076336145401,0.990379236638546,0.00962076336145401,56.25278854370117,168.15481567382812,34.615943908691406,53.759300231933594,0.6361947059631348,0.0002744178199892146,0.9097039103507996,0.8433157801628113,0.4699999988079071,0.0006829842709967876,61.599388122558594,127.54718780517578,78167.265625,59.04555130004883,0.6535500288009644,0.00022557130470464133,3.876927614212036,3.846520185470581,0.5450000166893005,0.00011180508648776986,50.14060592651367,91.7510757446289,15.36579704284668,47.562103271484375,0.7037610411643982,0.00021488067703249048,1.0391472578048706,1.069521427154541,0.5132743120193481,0.0006913276844903848,0.0,0.37870627641677856,0.019999999552965164,0.05051174759864807,11.966012954711914,0.6877907514572144,,,,,,,,,,pre,0.9973585307598114
1600,1.0912330026258132e-06,9.807317837839946e-07,9.255352892978408e-07,4.9378922284404325e-08,1.0896566209339653e-06,5.252918100495663e-09,3.7250495097396197e-06,22.663846969604492,1.0,0.009956371039152145,0.9900436289608479,0.009956371039152145,56.43492126464844,168.27769470214844,30.646724700927734,53.972755432128906,0.6356194615364075,0.00022960114686488363,0.9803882837295532,0.9021072387695312,0.4749999940395355,0.0007814170254473654,60.65248107910156,124.57782745361328,180508.359375,58.142059326171875,0.6524749994277954,0.0002321505024191833,3.8027474880218506,3.775890827178955,0.5450000166893005,0.00019827787136445519,51.053871154785156,90.75585174560547,16.51824951171875,48.48390579223633,0.7033185958862305,0.00019196922703333165,0.9083153605461121,0.9547702670097351,0.5132743120193481,0.0008020483996722095,0.0,0.380505234003067,0.014999999664723873,0.04970104619860649,12.555789947509766,0.6734911203384399,,,,,,,,,,pre,0.9983960092067719
1800,9.688458249001997e-07,9.578966455592308e-07,8.358237550964986e-07,4.406331655104623e-08,9.531660793982155e-07,4.512760387598291e-09,3.288364723630366e-06,22.42374610900879,1.0,0.01029197871685028,0.9897080212831497,0.01029197871685028,56.072086334228516,168.3855743408203,27.740114212036133,53.63730239868164,0.6349999904632568,0.00020457920846518506,1.0641385316848755,0.9747153520584106,0.47999998927116394,0.0008210240901014727,59.24565124511719,121.29833221435547,6942.255859375,56.77164840698242,0.6514750123023987,0.00021062020319929144,3.6681313514709473,3.645484209060669,0.5450000166893005,0.00020826732850571958,51.51209259033203,89.58062744140625,18.00214195251465,48.9454231262207,0.7020354270935059,0.00015201786969425195,0.791680634021759,0.8540302515029907,0.5132743120193481,0.0007668606877734535,0.0,0.38208094239234924,0.014999999664723873,0.04909921810030937,12.670818328857422,0.680170476436615,,,,,,,,,,pre,0.9987935423851013
2000,9.505174602963962e-07,1.0184779739574878e-06,8.315521426993655e-07,4.610018322637188e-08,9.25707126953057e-07,4.346060400450824e-09,3.225555246899603e-06,22.158435821533203,1.0,0.010180109180510044,0.98981989081949,0.010180109180510044,55.7080192565918,168.46307373046875,26.46855354309082,53.29831314086914,0.6343805193901062,0.00018413766279205368,1.135961890220642,1.038938045501709,0.49000000953674316,0.0007004159901671074,58.0829963684082,118.18217468261719,29838.173828125,55.64290237426758,0.6503499746322632,0.00017913099253250616,3.5488221645355225,3.5294811725616455,0.5450000166893005,0.00017650496904098191,51.79927062988281,88.45941925048828,19.435447692871094,49.238258361816406,0.7016814351081848,0.00012147646014254005,0.694817304611206,0.7738938331604004,0.4955752193927765,0.000720564579473025,0.0,0.38375717401504517,0.014999999664723873,0.048762403428554535,12.71087646484375,0.6876051425933838,,29.79,0.05009643931402131,5.7196074080467225,"[44, 53, 45]",26.705,0.04869813317746449,5.890981879234314,"[36, 12, 25]",pre,0.9990994930267334
2200,9.500641340309812e-07,1.0287122904628632e-06,8.33460319427104e-07,4.49330528340397e-08,9.123185691350955e-07,4.0395038425344865e-09,3.1988502087187953e-06,21.94108772277832,1.0,0.009397024288773537,0.9906029757112265,0.009397024288773537,55.418373107910156,168.4871063232422,26.72275733947754,53.03227996826172,0.6332079768180847,0.00017247420694068474,1.1934335231781006,1.0914912223815918,0.49000000953674316,0.0006592181159630379,57.20729446411133,115.35507202148438,11728.4765625,54.798927307128906,0.6498000025749207,0.00015374627684134197,3.4557089805603027,3.4392619132995605,0.5400000214576721,0.0001421778850633394,51.99100875854492,87.44751739501953,20.78400230407715,49.43742752075195,0.7016371488571167,0.00010107697318293808,0.6166543960571289,0.7124224305152893,0.4690265357494354,0.000665596671775128,0.0,0.3848811984062195,0.019999999552965164,0.04846475273370743,12.690911293029785,0.6935510039329529,,,,,,,,,,pre,0.9992466568946838
2400,9.457093028686359e-07,1.0858423138415674e-06,8.37994548419374e-07,4.915018791962211e-08,9.053316603058192e-07,4.333316372395757e-09,3.1826027679926483e-06,21.757225036621094,1.0,0.0092851547524333,0.9907148452475667,0.0092851547524333,55.186851501464844,168.51609802246094,27.685495376586914,52.82223129272461,0.6320132613182068,0.00016097334761314136,1.2401893138885498,1.135001540184021,0.49000000953674316,0.0006729127821674891,56.54869842529297,112.82874298095703,7762.94873046875,54.16907501220703,0.649275004863739,0.00013462194762173618,3.383929967880249,3.3694589138031006,0.5400000214576721,0.00012181922656311044,52.11127853393555,86.53553009033203,22.05500602722168,49.566200256347656,0.7012831568717957,8.953467480103357e-05,0.5544682145118713,0.666122555732727,0.47787609696388245,0.0006063106878363165,0.0,0.38583680987358093,0.019999999552965164,0.04810443893074989,12.714029312133789,0.6976194977760315,,,,,,,,,,pre,0.9993652105331421
2600,9.41242376484297e-07,1.0519156603550073e-06,8.401632953791704e-07,4.954882015795192e-08,8.996341307465627e-07,4.353009508406558e-09,3.1688146009400953e-06,21.595836639404297,1.0,0.0092851547524333,0.9907148452475667,0.0092851547524333,54.9964599609375,168.528564453125,28.292444229125977,52.65142822265625,0.6306415796279907,0.0001521458395456209,1.2776151895523071,1.1697920560836792,0.49000000953674316,0.0006046699932973563,56.048583984375,110.58451080322266,12582.4072265625,53.69489669799805,0.6481000185012817,0.00011992829954339881,3.330324649810791,3.31726336479187,0.5400000214576721,0.00010125268533689342,52.17814254760742,85.71434783935547,23.226200103759766,49.642181396484375,0.7004867196083069,7.969093168709511e-05,0.5062659978866577,0.6321333646774292,0.48672565817832947,0.0005648971848872651,0.0,0.38686683773994446,0.019999999552965164,0.04786422848701477,12.723273277282715,0.7020459175109863,,,,,,,,,,pre,0.9994405806064606
2800,9.456912266614381e-07,1.1181753052369459e-06,8.415540833084378e-07,5.0347679803053325e-08,8.948921390583564e-07,4.647316753647601e-09,3.153563284286065e-06,21.45587921142578,1.0,0.0092851547524333,0.9907148452475667,0.0092851547524333,54.835418701171875,168.53363037109375,27.919662475585938,52.5085334777832,0.630553126335144,0.0001438299246693479,1.3069957494735718,1.1973581314086914,0.49000000953674316,0.0006189751089515568,55.66218948364258,108.59060668945312,144258.609375,53.33220291137695,0.6474249958992004,0.00010867989807891014,3.2886619567871094,3.2767298221588135,0.5400000214576721,8.235654501135685e-05,52.2055778503418,84.96807098388672,24.280004501342773,49.67909622192383,0.69964599609375,7.320580022619396e-05,0.46833619475364685,0.6067371368408203,0.5044247508049011,0.000503955959452995,0.0,0.38764750957489014,0.019999999552965164,0.047556135803461075,12.746946334838867,0.7063877582550049,,,,,,,,,,pre,0.9995009005069733
3000,9.414083592673705e-07,1.0215551355940988e-06,8.407208724747761e-07,4.595198177526072e-08,8.904245305529912e-07,4.0508445486864275e-09,3.141206889267778e-06,21.33194351196289,1.0,0.0092851547524333,0.9907148452475667,0.0092851547524333,54.699859619140625,168.5310516357422,27.993337631225586,52.38982009887695,0.6300442218780518,0.00013739901903905822,1.3296680450439453,1.2185931205749512,0.49000000953674316,0.0005395261913477232,55.361724853515625,106.84488677978516,135947.96875,53.05331802368164,0.6468250155448914,9.951679150062868e-05,3.2578375339508057,3.2466163635253906,0.5400000214576721,7.933313684362921e-05,52.20637512207031,84.28927612304688,25.24178123474121,49.68962478637695,0.6988937854766846,6.694647268803641e-05,0.4392370879650116,0.5882859826087952,0.5221238732337952,0.00044752269653716687,0.0,0.388578325510025,0.019999999552965164,0.04737989604473114,12.7412748336792,0.7105687856674194,,,,,,,,,,pre,0.9995652139186859
3200,9.42276813020726e-07,1.1404065389797324e-06,8.418344350502593e-07,5.295638771940503e-08,8.878064363671001e-07,4.552150212333572e-09,3.1301260605687276e-06,21.225011825561523,1.0,0.009173285216093063,0.9908267147839069,0.009173285216093063,54.58132553100586,168.52462768554688,28.227182388305664,52.287479400634766,0.6294026374816895,0.00013209269031182942,1.3475719690322876,1.235470175743103,0.49000000953674316,0.0005906175520288691,55.1212158203125,105.32106018066406,17515.54296875,52.832481384277344,0.646399974822998,9.249077787151197e-05,3.232755661010742,3.222181797027588,0.5400000214576721,7.20561190204514e-05,52.18714904785156,83.66632080078125,26.13441276550293,49.68003845214844,0.6982300877571106,6.346858131300963e-05,0.4159594774246216,0.5741502046585083,0.5398229956626892,0.00039910139981612824,0.0,0.3893420398235321,0.019999999552965164,0.04704960808157921,12.716625213623047,0.7140796780586243,,,,,,,,,,pre,0.9996068775653839
3400,9.403460694556998e-07,1.106286845242721e-06,8.418248285124719e-07,5.162270966252436e-08,8.851889106153976e-07,4.291798028077665e-09,3.1160266189544927e-06,21.12799644470215,1.0,0.009173285216093063,0.9908267147839069,0.009173285216093063,54.47853469848633,168.52984619140625,28.67329978942871,52.20039367675781,0.6288495659828186,0.00013108177602601346,1.3615175485610962,1.248958945274353,0.49000000953674316,0.0005662618370086577,54.92692947387695,103.99005126953125,15109.6904296875,52.65615463256836,0.6454499959945679,8.709772049026428e-05,3.2134881019592285,3.2034223079681396,0.5400000214576721,6.158487969477347e-05,52.155330657958984,83.09664916992188,26.96269989013672,49.65769577026367,0.6976548433303833,6.031753081926303e-05,0.39808040857315063,0.5637412071228027,0.5044247508049011,0.00035168994464204457,0.0,0.3899281919002533,0.019999999552965164,0.04676109552383423,12.708633422851562,0.7170707583427429,,,,,,,,,,pre,0.999635249376297
