epoch,grad_norm_layers_0_weight,grad_norm_layers_0_bias,grad_norm_layers_1_weight,grad_norm_layers_1_bias,grad_norm_layers_2_weight,grad_norm_layers_2_bias,train_loss,test_loss,train_acc,test_acc,acc_gap,grokking_score,l2_layers_0_weight,eff_rank_layers_0_weight,condition_number_layers_0_weight,weight_dist_init_layers_0_weight,sign_stability_layers_0_weight,update_weight_ratio_layers_0_weight,l2_layers_0_bias,weight_dist_init_layers_0_bias,sign_stability_layers_0_bias,update_weight_ratio_layers_0_bias,l2_layers_1_weight,eff_rank_layers_1_weight,condition_number_layers_1_weight,weight_dist_init_layers_1_weight,sign_stability_layers_1_weight,update_weight_ratio_layers_1_weight,l2_layers_1_bias,weight_dist_init_layers_1_bias,sign_stability_layers_1_bias,update_weight_ratio_layers_1_bias,l2_layers_2_weight,eff_rank_layers_2_weight,condition_number_layers_2_weight,weight_dist_init_layers_2_weight,sign_stability_layers_2_weight,update_weight_ratio_layers_2_weight,l2_layers_2_bias,weight_dist_init_layers_2_bias,sign_stability_layers_2_bias,update_weight_ratio_layers_2_bias,dead_frac_hidden_0,sparsity_hidden_0,dead_frac_hidden_1,sparsity_hidden_1,margin,test_entropy,sharpness,fourier_mean_top_freq_hidden_0,fourier_mean_frac_explained_hidden_0,fourier_mean_entropy_hidden_0,fourier_key_freqs_hidden_0,fourier_mean_top_freq_hidden_1,fourier_mean_frac_explained_hidden_1,fourier_mean_entropy_hidden_1,fourier_key_freqs_hidden_1,phase,cka_vs_prev
0,0.012236262671649456,0.010174388997256756,0.029040230438113213,0.02562868595123291,0.03799134120345116,0.06164710223674774,3.438613176345825,3.433640480041504,0.013888888992369175,0.032689448446035385,-0.01880055945366621,2.3536402705785613,8.146171569824219,59.46626281738281,3.120194911956787,0.009940587915480137,0.9996774196624756,0.00122027725911187,1.0279045104980469,0.0014219732256606221,1.0,0.0013833709368311251,8.182473182678223,161.0882110595703,306.8387756347656,0.019287962466478348,0.9993249773979187,0.002357228925272831,0.5578749775886536,0.0013848840026184916,1.0,0.002482427171414792,3.220010757446289,30.354442596435547,2.107192277908325,0.00769912451505661,0.9998387098312378,0.0023910244701053716,0.24635623395442963,0.0005529985064640641,1.0,0.002244710830278224,0.0,0.5204513669013977,0.04500000178813934,0.5058854222297668,2.086162567138672e-06,3.4327542781829834,0.4672356843948364,7.355,0.1311180502531858,4.348980641365051,"[1, 7, 4]",7.34,0.1055809676150613,4.643771281242371,"[10, 3, 7]",pre,
50,0.06757377088069916,0.0556664876639843,0.062029220163822174,0.019489429891109467,0.09851492941379547,0.01630980707705021,2.896310329437256,3.784860610961914,0.2083333283662796,0.001485884073190391,0.2068474442930892,0.007132243721359818,9.510360717773438,58.84797286987305,3.7497646808624268,3.702543258666992,0.8856451511383057,0.011828996391868464,1.0044149160385132,0.5705330967903137,0.8149999976158142,0.01624856145993843,10.903221130371094,149.3853759765625,16247.044921875,6.631845474243164,0.8077750205993652,0.017938448898945285,0.5792528986930847,0.28122633695602417,0.8650000095367432,0.017052783919143475,5.0235795974731445,29.680139541625977,3.0586767196655273,2.873175859451294,0.8325806260108948,0.016601832984344877,0.25049707293510437,0.10108917951583862,0.9032257795333862,0.013497950568195947,0.0,0.40312498807907104,0.05999999865889549,0.14996527135372162,1.2874603271484375e-05,3.3129847049713135,,,,,,,,,,pre,0.6746436953544617
100,0.12293890118598938,0.03220033273100853,0.07875712215900421,0.011258000507950783,0.1443501114845276,0.006653744261711836,1.1654006242752075,5.932829856872559,0.8611111044883728,0.0,0.8611111044883728,0.0,13.239958763122559,58.01155471801758,4.27487850189209,8.197774887084961,0.793790340423584,0.008238596880142718,1.398266077041626,1.1408230066299438,0.6399999856948853,0.004631988883952146,18.219993591308594,128.36048889160156,609.505126953125,15.285219192504883,0.6623749732971191,0.010496266320555699,0.8461540937423706,0.7255828380584717,0.6949999928474426,0.010526092182999427,8.65196418762207,28.829713821411133,4.047915935516357,6.593324661254883,0.783709704875946,0.009105950946304122,0.28744426369667053,0.182655930519104,0.774193525314331,0.00937051517678174,0.0,0.3497743010520935,0.05000000074505806,0.11873263865709305,0.003620147705078125,2.4094345569610596,,,,,,,,,,pre,0.9173034131526947
150,0.05440318211913109,0.015906427055597305,0.030682187527418137,0.0032132850028574467,0.05792366340756416,0.001204452128149569,0.18866422772407532,8.905964851379395,1.0,0.0,1.0,0.0,16.088123321533203,58.27146911621094,4.145674228668213,11.273940086364746,0.7666128873825073,0.0036506775474936604,1.453310489654541,1.166441559791565,0.6499999761581421,0.001615768440712652,23.798425674438477,121.1092300415039,1946.1700439453125,21.285581588745117,0.6396499872207642,0.004590542812530731,1.0832973718643188,1.01620614528656,0.6150000095367432,0.0037632263429289727,11.347214698791504,28.894865036010742,3.9386541843414307,9.30239486694336,0.7788709402084351,0.003858904875749438,0.3216420114040375,0.23437586426734924,0.7096773982048035,0.00212817217100231,0.0,0.37109375,0.03999999910593033,0.11354167014360428,1.369204044342041,1.547702431678772,,,,,,,,,,pre,0.9717324376106262
200,0.019069796428084373,0.006041504442691803,0.010628270916640759,0.0011299526086077094,0.020287424325942993,0.0003368613834027201,0.04964718595147133,10.282751083374023,1.0,0.0,1.0,0.0,17.176416397094727,58.4037971496582,4.075693607330322,12.509805679321289,0.7583064436912537,0.0015199642281554966,1.4122439622879028,1.1293485164642334,0.6700000166893005,0.0010114390226313758,26.08124351501465,119.19454193115234,3157.077392578125,23.7548885345459,0.6297249794006348,0.0019754011167055956,1.1666674613952637,1.120344877243042,0.6000000238418579,0.0013731707378910351,12.484938621520996,28.939224243164062,3.908712863922119,10.462364196777344,0.7762902975082397,0.0016999888624461832,0.32132643461227417,0.2424633651971817,0.7096773982048035,0.0008675002260437977,0.0,0.38208332657814026,0.03999999910593033,0.11269097030162811,2.912783622741699,1.2895926237106323,,,,,,,,,,pre,0.9957596361637115
250,0.009962914511561394,0.0036747001577168703,0.0055679576471447945,0.0005870661698281765,0.010665582492947578,0.00015845571761019528,0.02330080047249794,10.827686309814453,1.0,0.0,1.0,0.0,17.596372604370117,58.468135833740234,4.046479225158691,13.053117752075195,0.7528225779533386,0.0010572971846201974,1.3659902811050415,1.0976942777633667,0.6700000166893005,0.0008526909437308514,27.107542037963867,118.2305908203125,1253.5152587890625,24.909982681274414,0.6253499984741211,0.0013857053832830746,1.198957085609436,1.1666591167449951,0.5849999785423279,0.0009468854342932957,13.023568153381348,28.969411849975586,3.8761847019195557,11.02825927734375,0.7766128778457642,0.0011659319580808016,0.31457528471946716,0.2431620955467224,0.7096773982048035,0.0007518440325717323,0.0,0.38831597566604614,0.03999999910593033,0.11362846940755844,3.824263095855713,1.2004450559616089,,,,,,,,,,pre,0.9986074268817902
300,0.005864861886948347,0.0023739831522107124,0.0032663496676832438,0.00034802063601091504,0.0062650712206959724,8.441792306257412e-05,0.012640929780900478,11.217062950134277,1.0,0.0,1.0,0.0,17.879056930541992,58.5158576965332,4.030575752258301,13.45079231262207,0.7467741966247559,0.0009372619480612133,1.3246514797210693,1.0726308822631836,0.6650000214576721,0.000794035624815852,27.862220764160156,117.46237182617188,2612.826904296875,25.77876853942871,0.6215500235557556,0.00120000487709398,1.2214940786361694,1.2017097473144531,0.5799999833106995,0.000846185856838611,13.42807388305664,28.985225677490234,3.8499085903167725,11.462478637695312,0.774193525314331,0.0009742851139559255,0.3070134222507477,0.24292026460170746,0.7096773982048035,0.0007448747600629646,0.0,0.3923090398311615,0.03999999910593033,0.1132291629910469,4.5142059326171875,1.1410554647445679,,,,,,,,,,pre,0.9991011023521423
350,0.003542142454534769,0.0014169685309752822,0.0019659288227558136,0.0002057612146018073,0.003781951265409589,4.734811227535829e-05,0.007153468206524849,11.585945129394531,1.0,0.0,1.0,0.0,18.125389099121094,58.55141830444336,4.0492424964904785,13.803953170776367,0.7432258129119873,0.0008504176295172412,1.287747859954834,1.053104043006897,0.6600000262260437,0.000728234261333256,28.52919578552246,116.83700561523438,4878.7109375,26.550737380981445,0.6187250018119812,0.0010944446236557342,1.2421035766601562,1.2334879636764526,0.5600000023841858,0.0007819251900519409,13.785931587219238,28.990610122680664,3.830782651901245,11.851130485534668,0.7745161056518555,0.0008694975011236132,0.29933297634124756,0.2425360232591629,0.7096773982048035,0.0007320252295057432,0.0,0.3955555558204651,0.03999999910593033,0.11249999701976776,5.108939170837402,1.0897105932235718,,,,,,,,,,pre,0.9993212223052979
400,0.002185922348871827,0.0009721084497869015,0.0011969665065407753,0.00012468550994526595,0.002303789835423231,2.6821237042895518e-05,0.0041201356798410416,11.954442024230957,1.0,0.0,1.0,0.0,18.35471534729004,58.57802963256836,4.088255882263184,14.13390064239502,0.7395161390304565,0.0007911359635863262,1.254145622253418,1.0374714136123657,0.6549999713897705,0.0007114501034720332,29.148744583129883,116.28226470947266,8812.7294921875,27.268314361572266,0.6159250140190125,0.0010186685283924508,1.2624105215072632,1.2639623880386353,0.5550000071525574,0.000752912677485704,14.116668701171875,28.98977279663086,3.8147079944610596,12.212575912475586,0.7743548154830933,0.00079452197152151,0.29180359840393066,0.24220113456249237,0.7096773982048035,0.0007090026565281805,0.0,0.39748263359069824,0.03999999910593033,0.11180555820465088,5.679582118988037,1.0427972078323364,,,,,,,,,,pre,0.9994474649429321
450,0.001332416315563023,0.0005649866070598364,0.0007312544039450586,7.684816955588758e-05,0.0014083157293498516,1.5226130017254036e-05,0.0023958671372383833,12.329195976257324,1.0,0.0,1.0,0.0,18.57197380065918,58.601524353027344,4.141604900360107,14.446332931518555,0.7366935610771179,0.000740107679046161,1.2237786054611206,1.0252984762191772,0.6499999761581421,0.0006535274978200674,29.73143196105957,115.78562927246094,3388.849609375,27.943206787109375,0.6133999824523926,0.0009519604168199647,1.2830201387405396,1.2940248250961304,0.5550000071525574,0.000746496271025522,14.425936698913574,28.98466682434082,3.803856611251831,12.552077293395996,0.774193525314331,0.0007346279009607917,0.2846086919307709,0.24206019937992096,0.7096773982048035,0.0006955519707839614,0.0,0.39954861998558044,0.03999999910593033,0.11052083224058151,6.235788345336914,0.9978755712509155,,,,,,,,,,pre,0.9995210766792297
